Marca temporal;Código de estudiante;Sexo;Edad;Nombre de la escuela;Población;Curso;I. Marca la opción correcta (en este ejemplo la opción correcta es la B);II. Marca la opción correcta (en este ejemplo la opción correcta es la C);III. Marca la opción correcta (en este ejemplo la opción correcta es la A);Pregunta 1. Marca la opción correcta;Pregunta 2. Marca la opción correcta;Pregunta 3. Marca la opción correcta;Pregunta 4. Marca la opción correcta;Pregunta 4b. Marca la opción correcta;Pregunta 5. Marca la opción correcta;Pregunta 6. Marca la opción correcta;Pregunta 7. Marca la opción correcta;Pregunta 8. Marca la opción correcta;Pregunta 9. Marca la opción correcta;Pregunta 10. Marca la opción correcta;Pregunta 10b. Marca la opción correcta;Pregunta 11. Marca la opción correcta;Pregunta 12. Marca la opción correcta;Pregunta 13. Marca la opción correcta;Pregunta 14. Marca la opción correcta;Pregunta 15. Marca la opción correcta;Pregunta 16. Marca la opción correcta;Pregunta 17. Marca la opción correcta;Pregunta 18. Marca la opción correcta;Pregunta 19. Marca la opción correcta;Pregunta 20. Marca la opción correcta;Pregunta 20b. Marca la opción correcta;Pregunta 21. Marca la opción correcta;Pregunta 22. Marca la opción correcta;Pregunta 23. Marca la opción correcta;Pregunta 24. Marca la opción correcta;Pregunta 25. Marca la opción correcta;Pregunta 26. Marca la opción correcta;Pregunta 27. Marca la opción correcta;Pregunta 28. Marca la opción correcta;Pregunta 28b. Marca la opción correcta;De 0 a 10, ¿cómo consideras que te ha salido el Test?;De 0 a 10, ¿cómo consideras que se te dan los ordenadores y la informática?
15/01/2019 13:31:00;em48;Neska;12;zunzunegui;Portugalete;1 dbh;B;C;A;B;C;D;A;B;C;D;A;B;D;A;B;C;C;B;A;B;D;B;A;C;C;C;B;D;A;C;B;A;D;C;D;1;5
15/01/2019 13:37:34;dq2j;Neska;12;J.A Zunzunegui;Portugalete;1.D3;B;C;A;B;C;D;D;C;C;D;A;D;D;C;B;C;D;D;A;A;C;B;D;A;C;D;B;D;A;C;B;A;D;B;C;2;3
15/01/2019 13:40:14;g0y5;Mutila;12;zunzunegui;Portugalete;1DBH;B;C;A;B;C;D;D;C;C;D;A;B;A;C;C;C;A;A;A;C;D;A;A;C;C;D;C;B;A;C;C;B;A;C;C;9;10
15/01/2019 13:45:18;dn6m;Neska;12;zunzunegui;Portugalete;1D3;B;C;A;B;A;C;D;B;C;B;B;A;D;C;C;A;C;D;B; ;A;A;C;C;D;B;C;B;D;B;A;D;C; ;B;6;8
15/01/2019 13:45:47;g630;Mutila;12;Zunzunegui;portugalete;1D3;B;C;A;B;C;D;A;C;C;D;A;A;D;C;A;C;C;A;A;D;A;B;A;D;A;B;A;A;D;C;D;B;A;B;C;8;9
15/01/2019 13:46:10;ep2q;Mutila;12;zunzunegui;zamora;1d3;B;C;A;B;C;D;C;B;C;D;A;C;D;D;A;C;A;B;B;A;C;B;D;D;B; ;A;C;B;C;B;C;D;C;D;7;6
15/01/2019 13:47:20;e47j;Neska;12;J.A ZUNZUNEGUI;PORTUGALETE;1* D3;B;C;A;B;C;D;A;A;C;D;A;B;D;C;A;C;D;A;A;C;C;B;C;B;C;A;C;D;B;D;B;C;A;D;C;2;0
15/01/2019 13:49:47;dwy7;Neska;12;Zunzunegui;Portugalete;DBH1;B;C;A;B;C;D;D;C;C;D;A;D;D;C;B;C;B;C;B;A;B;C;C;A;B;D;C;A;D;C;D;B;D;C;C;3;5
15/01/2019 13:50:34;ev2l;Mutila;12;Zunzunegui;Portugalete;1D3;B;C;A;B;C;D;D;B;C;D;C;D;D;C;A;C;D;B;A;C;D;A;B;D;B;B;A;A;D;A;D;A;C;B;D;8;9
15/01/2019 13:52:34;ej13;Neska;12;Zunzunegui;Portugalete;1DBH;B;C;A;B;C;D;D;C;C;D;A;C;D;C;A;C;D;B;A;A;D;B;A;C;C;D;A;A;D;A;B;B;A;C;A;8;8
